algorithm,threads,batch_size,write_ratio,insert_p95_latency (ms),insert_p99_latency (ms),insert_mean_latency (ms),insert_qps,search_p95_latency (ms),search_p99_latency (ms),search_mean_latency (ms),search_qps,recall
hnsw,48,1000,0.1,24009.0,24178.0,20579.22,2239.42,949.0,2267.0,651.69,20154.81,95.097
hnsw,48,1000,0.2,17204.0,17642.0,15021.51,3074.48,514.0,1396.0,379.33,12297.92,95.103
hnsw,48,1000,0.5,13391.0,13669.0,11915.83,3868.78,370.0,1897.0,301.95,3868.78,95.067
hnsw,48,1000,0.8,9505.0,9686.0,7848.3,5826.87,316.0,470.0,186.61,1456.72,95.082
hnsw,48,1000,0.9,8853.0,9111.0,7401.77,6185.57,295.0,510.0,170.82,686.6,95.068
parlayhnsw,48,1000,0.1,53823.0,54448.0,45608.51,1013.76,1804.0,8779.0,1519.71,9123.81,92.779
parlayhnsw,48,1000,0.2,29011.0,29555.0,25150.03,1843.68,667.0,4643.0,671.42,7374.73,90.496
parlayhnsw,48,1000,0.5,14193.0,14393.0,12402.1,3698.88,392.0,2263.0,359.09,3698.88,91.776
parlayhnsw,48,1000,0.8,10421.0,10660.0,9149.14,4998.6,270.0,1148.0,237.55,1249.65,93.336
parlayhnsw,48,1000,0.9,9800.0,10001.0,8550.65,5348.8,244.0,1176.0,216.48,593.72,92.843
parlayvamana,48,1000,0.1,50751.0,51592.0,44833.43,1023.36,1599.0,6581.0,1442.74,9210.26,90.902
parlayvamana,48,1000,0.2,38336.0,39174.0,33447.89,1374.94,909.0,3089.0,831.89,5499.78,90.902
parlayvamana,48,1000,0.5,30436.0,30873.0,26136.61,1753.28,732.0,1287.0,613.03,1753.28,90.902
parlayvamana,48,1000,0.8,28359.0,28855.0,24155.88,1896.11,664.0,697.0,536.73,474.03,90.852
parlayvamana,48,1000,0.1,51278.0,52204.0,45081.76,1019.71,1581.0,6319.0,1353.03,9177.36,90.902
vamana,48,1000,0.1,17575.0,17862.0,15868.27,2880.35,858.0,4742.0,626.27,25923.12,94.615
vamana,48,1000,0.2,13095.0,13346.0,11721.04,3905.34,566.0,3211.0,406.46,15621.35,94.672
vamana,48,1000,0.5,9931.0,10177.0,8834.69,5190.39,346.0,1907.0,251.52,5190.39,94.646
vamana,48,1000,0.8,6476.0,6823.0,5610.96,8102.49,259.0,722.0,137.59,2025.62,94.603
vamana,48,1000,0.1,17910.0,18124.0,15729.35,2903.11,860.0,4807.0,630.59,26127.99,94.589
